payload_bytes,ring_wire_bytes_per_rank,observed_mean_us,fitted_mean_us,residual_us
1024,1024.0,123.02822399139404,112.38705313605506,10.641170855338984
4096,4096.0,122.29830400645733,113.14297427050344,9.155329735953885
16384,16384.0,129.93664020299911,116.16665880829697,13.769981394702143
65536,65536.0,138.83174419403076,128.26139695947109,10.570347234559677
262144,262144.0,182.04851230978966,176.64034956416748,5.408162745622178
1048576,1048576.0,382.39852821826935,370.15615998295317,12.242368235316178
4194304,4194304.0,1126.3678064346313,1144.2194016580959,-17.85159522346453
16777216,16777216.0,4196.604681015015,4240.472368358667,-43.867687343652506
33554432,33554432.0,8344.96184539795,8368.80965729276,-23.847811894811457
67108864,67108864.0,16649.263969421387,16625.48423516095,23.77973426043536
