captured_at_utc,phase,measurement_active,system_used_bytes,process_tree_rss_bytes,gpu_index,gpu_uuid,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w,sm_clock_mhz,memory_clock_mhz
2026-09-07T21:15:18.432402+00:00,startup,False,2405990400,2275995648,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,21.0,15360.0,0.0,55.0,28.92,900.0,5000.0
2026-09-07T21:15:18.775387+00:00,warmup_1024,False,2570743808,2510188544,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,123.0,15360.0,5.0,54.0,29.4,615.0,5000.0
2026-09-07T21:15:18.775387+00:00,warmup_1024,False,2570743808,2510188544,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,123.0,15360.0,5.0,55.0,28.82,900.0,5000.0
2026-09-07T21:15:19.088874+00:00,warmup_1024,False,2868576256,2828820480,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,169.0,15360.0,3.0,54.0,29.1,585.0,5000.0
2026-09-07T21:15:19.088874+00:00,warmup_1024,False,2868576256,2828820480,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,171.0,15360.0,5.0,55.0,28.82,900.0,5000.0
2026-09-07T21:15:19.401836+00:00,measured_4096,True,3019710464,3108614144,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,207.0,15360.0,16.0,54.0,29.2,585.0,5000.0
2026-09-07T21:15:19.401836+00:00,measured_4096,True,3019710464,3108614144,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,207.0,15360.0,3.0,55.0,29.4,900.0,5000.0
2026-09-07T21:15:19.713470+00:00,measured_4194304,True,3036741632,3110215680,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,229.0,15360.0,40.0,54.0,30.88,600.0,5000.0
2026-09-07T21:15:19.713470+00:00,measured_4194304,True,3036741632,3110215680,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,229.0,15360.0,64.0,56.0,37.53,1440.0,5000.0
2026-09-07T21:15:20.026417+00:00,measured_16777216,True,3037233152,3110285312,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,243.0,15360.0,95.0,55.0,43.87,1590.0,5000.0
2026-09-07T21:15:20.026417+00:00,measured_16777216,True,3037233152,3110285312,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,243.0,15360.0,87.0,57.0,44.38,1590.0,5000.0
2026-09-07T21:15:20.335333+00:00,warmup_33554432,False,3055026176,3110359040,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,94.0,56.0,45.44,1590.0,5000.0
2026-09-07T21:15:20.335333+00:00,warmup_33554432,False,3055026176,3110359040,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,94.0,57.0,43.3,1590.0,5000.0
2026-09-07T21:15:20.645558+00:00,measured_33554432,True,3071164416,3110363136,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,98.0,56.0,45.15,1590.0,5000.0
2026-09-07T21:15:20.645558+00:00,measured_33554432,True,3071164416,3110363136,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,96.0,57.0,44.06,1590.0,5000.0
2026-09-07T21:15:20.954709+00:00,measured_33554432,True,3071164416,3110367232,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,96.0,57.0,45.34,1590.0,5000.0
2026-09-07T21:15:20.954709+00:00,measured_33554432,True,3071164416,3110367232,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,96.0,58.0,44.26,1590.0,5000.0
2026-09-07T21:15:21.261805+00:00,measured_33554432,True,3071332352,3110510592,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,97.0,57.0,45.22,1590.0,5000.0
2026-09-07T21:15:21.261805+00:00,measured_33554432,True,3071332352,3110510592,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,96.0,58.0,44.28,1590.0,5000.0
2026-09-07T21:15:21.570531+00:00,warmup_67108864,False,3068772352,3110572032,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,95.0,57.0,45.64,1590.0,5000.0
2026-09-07T21:15:21.570531+00:00,warmup_67108864,False,3068772352,3110572032,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.36,1590.0,5000.0
2026-09-07T21:15:21.882936+00:00,measured_67108864,True,3068596224,3110572032,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,99.0,57.0,45.34,1590.0,5000.0
2026-09-07T21:15:21.882936+00:00,measured_67108864,True,3068596224,3110572032,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.28,1590.0,5000.0
2026-09-07T21:15:22.193309+00:00,measured_67108864,True,3068592128,3110576128,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,57.0,45.24,1590.0,5000.0
2026-09-07T21:15:22.193309+00:00,measured_67108864,True,3068592128,3110576128,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.36,1590.0,5000.0
2026-09-07T21:15:22.502873+00:00,measured_67108864,True,3068592128,3110580224,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,57.0,45.41,1590.0,5000.0
2026-09-07T21:15:22.502873+00:00,measured_67108864,True,3068592128,3110580224,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,58.0,44.97,1590.0,5000.0
