mode,tp,output_tokens_per_second,sample_standard_deviation,trial_count
graph,1,1921.4196085008657,24.453866687365757,5
graph,2,1408.547671970347,40.39591754603365,5
eager,1,312.1905689580518,6.583584391658918,5
eager,2,172.33100915670772,1.5778969901400484,5
