model_id,model_revision,workload,concurrency,tp,repetitions,maximum_vram_mib_mean,maximum_system_ram_bytes_mean,gpu_utilization_percent_mean,mean_power_w,maximum_temperature_c_mean,request_failures_mean,oom_repetitions,resource_boundary_repetitions
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,16,2,5,13795.0,7446135603.2,14.523506216310812,26.326463681170093,65.2,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,32,1,5,13733.0,4453407129.6,24.51289465273206,31.373401377714327,66.6,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,32,2,5,13797.0,7431989657.6,17.055530270890138,27.800707527052786,67.4,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,64,1,5,13809.4,4513873100.8,31.776794106689447,33.976265512399486,69.4,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,short,64,2,5,14108.2,7430848512.0,19.970895016590326,29.74175319818493,70.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,1,1,5,13609.0,5319897907.2,71.35142188879982,51.9751263188961,81.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,1,2,5,13723.0,7537785241.6,50.30802349725197,50.393645187213835,82.0,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,4,1,5,13659.0,4792571494.4,53.39259169250221,45.09896336942225,81.4,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,4,2,5,13723.0,7477643673.6,36.640324313079354,41.241899931378676,81.6,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,8,1,5,13673.0,4792635392.0,50.3037009058347,43.47355623977988,81.2,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,8,2,5,13723.0,7448365465.6,32.285431852124404,38.12192356630404,81.8,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,16,1,5,13673.0,4707611443.2,58.1095231122571,46.922527186592404,81.4,0.0,0,0
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,16,2,5,13723.0,7451364556.8,37.11610139231751,40.197108152425834,81.8,0.0,0,0
