model_id,model_revision,workload,concurrency,repetitions,paired_performance_repetitions,tp1_output_tokens_per_second,tp2_output_tokens_per_second,tp2_over_tp1_speedup,tp1_ttft_ms,tp2_ttft_ms,tp1_tpot_ms,tp2_tpot_ms,tp1_itl_ms,tp2_itl_ms,tp1_e2e_latency_ms,tp2_e2e_latency_ms,tp1_maximum_vram_mib,tp2_maximum_vram_mib,tp1_gpu_utilization_percent,tp2_gpu_utilization_percent,tp1_oom_repetitions,tp2_oom_repetitions,tp1_failed_repetitions,tp2_failed_repetitions,tp1_resource_boundary_repetitions,tp2_resource_boundary_repetitions,classifications
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,1,5,5,24.937158863388174,14.998715074570848,0.6106103746221109,200.51610981001545,157.5379336100059,40.24220784000006,66.43865669094117,40.24171658298041,66.43802198627453,10462.279109010033,17099.395389800007,13643.0,13751.0,58.806379060095914,49.80330761603714,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,4,5,5,100.42334295840064,58.351330407960496,0.5818273365759186,630.8888946299908,427.21300709000843,37.503994853803896,67.07889030407839,37.50254916631367,67.07760964035292,10194.407582349984,17532.330034629995,13711.0,13753.0,45.596586851400005,37.18283919969842,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,8,5,5,181.38469945460733,113.49319856074344,0.6256531302326055,1067.1022322166586,649.3116805000266,39.910596066209166,68.06283110091496,39.9094373429412,68.06177061130708,11244.304229099997,18005.33361123334,13731.0,13797.0,43.25426856352279,33.252523030872204,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,16,5,5,291.7059865504094,215.7163934438292,0.7395225616439817,1747.148379233336,1066.9408048875132,48.000625512287584,69.94862692040843,47.998985710065334,69.94864980886615,13987.307884866672,18903.84066959166,13731.0,13796.6,50.36609567684227,35.7109719600053,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,32,5,5,385.0258357134177,390.68963300577104,1.0147449503101866,2500.9851062083244,1627.8453732916737,73.2575962588318,75.44843690503261,73.25537179046572,75.4460765971242,21181.672152210427,20867.196784074993,13734.2,13797.8,60.53653419542108,41.34693029485759,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,64,5,5,494.61682181526294,651.2798312928477,1.3165623465148384,3636.383876174995,2331.988635755194,114.94440679881544,88.68726905861931,114.94086808290035,88.68435238415442,32947.20760987293,24947.242245703113,13979.4,14771.8,70.44254643526361,50.459548848642505,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,1,5,5,21.578021139023424,14.006964719036485,0.6493445351592115,1339.1535662699846,797.712460769992,36.21129230724413,65.7590269852758,36.472958331256585,66.20757811340097,5937.987689289989,9149.108887900018,13729.0,13795.0,56.56003449408588,45.955853627887564,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,4,5,5,49.128866248076704,45.15105388860615,0.9203493689781725,3832.388115719982,1988.1379027400203,51.76304688669296,73.3528906082678,52.07892273806159,73.83503958637434,10406.29507032999,11303.955009990032,13731.0,13797.0,52.771566641535856,35.77183782701463,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,8,5,5,60.49907005699604,72.13983554376489,1.1946513026081607,5691.8970358500455,3090.3605932916626,88.01253862434365,86.56057513950142,88.57116245035147,87.14875127145102,16869.48944114169,14083.553636008344,13731.0,13797.0,55.08869880049974,35.01086531134342,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,16,5,5,68.50678286360039,101.25762246171247,1.4809773146168883,8020.694878004133,4384.074386454156,171.6883272985238,123.10182841856951,172.72026157553015,123.91715297967741,29825.112444916653,20018.006595612485,13735.0,13799.0,68.36723401635831,45.57032440175033,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
