fitted_mean_us,observed_mean_us,payload_bytes,residual_us,ring_wire_bytes_per_rank
112.38705313605506,123.02822399139404,1024,10.641170855338984,1024.0
113.14297427050344,122.29830400645733,4096,9.155329735953885,4096.0
116.16665880829697,129.93664020299911,16384,13.769981394702143,16384.0
128.26139695947109,138.83174419403076,65536,10.570347234559677,65536.0
176.64034956416748,182.04851230978966,262144,5.408162745622178,262144.0
370.15615998295317,382.39852821826935,1048576,12.242368235316178,1048576.0
1144.2194016580959,1126.3678064346313,4194304,-17.85159522346453,4194304.0
4240.472368358667,4196.604681015015,16777216,-43.867687343652506,16777216.0
8368.80965729276,8344.96184539795,33554432,-23.847811894811457,33554432.0
16625.48423516095,16649.263969421387,67108864,23.77973426043536,67108864.0
